rate_date,currency,eur_per_unit
2025-12-01,USD,0.92425000
2025-12-01,GBP,1.17940000
2025-12-01,PLN,0.23180000
2025-12-01,SEK,0.08892500
2025-12-02,USD,0.92440000
2025-12-02,GBP,1.17952000
2025-12-02,PLN,0.23184000
2025-12-02,SEK,0.08894000
2025-12-03,USD,0.92455000
2025-12-03,GBP,1.17964000
2025-12-03,PLN,0.23188000
2025-12-03,SEK,0.08895500
2025-12-04,USD,0.92470000
2025-12-04,GBP,1.17976000
2025-12-04,PLN,0.23192000
2025-12-04,SEK,0.08897000
2025-12-05,USD,0.92485000
2025-12-05,GBP,1.17988000
2025-12-05,PLN,0.23196000
2025-12-05,SEK,0.08898500
2025-12-08,USD,0.92500000
2025-12-08,GBP,1.18000000
2025-12-08,PLN,0.23200000
2025-12-08,SEK,0.08900000
2025-12-09,USD,0.92515000
2025-12-09,GBP,1.18012000
2025-12-09,PLN,0.23204000
2025-12-09,SEK,0.08901500
2025-12-10,USD,0.92530000
2025-12-10,GBP,1.18024000
2025-12-10,PLN,0.23208000
2025-12-10,SEK,0.08903000
2025-12-11,USD,0.92545000
2025-12-11,GBP,1.18036000
2025-12-11,PLN,0.23212000
2025-12-11,SEK,0.08904500
2025-12-12,USD,0.92560000
2025-12-12,GBP,1.18048000
2025-12-12,PLN,0.23216000
2025-12-12,SEK,0.08906000
2025-12-15,USD,0.92575000
2025-12-15,GBP,1.18060000
2025-12-15,PLN,0.23220000
2025-12-15,SEK,0.08907500
2025-12-16,USD,0.92425000
2025-12-16,GBP,1.17940000
2025-12-16,PLN,0.23180000
2025-12-16,SEK,0.08892500
2025-12-17,USD,0.92440000
2025-12-17,GBP,1.17952000
2025-12-17,PLN,0.23184000
2025-12-17,SEK,0.08894000
2025-12-18,USD,0.92455000
2025-12-18,GBP,1.17964000
2025-12-18,PLN,0.23188000
2025-12-18,SEK,0.08895500
2025-12-19,USD,0.92470000
2025-12-19,GBP,1.17976000
2025-12-19,PLN,0.23192000
2025-12-19,SEK,0.08897000
2025-12-22,USD,0.92485000
2025-12-22,GBP,1.17988000
2025-12-22,PLN,0.23196000
2025-12-22,SEK,0.08898500
2025-12-23,USD,0.92500000
2025-12-23,GBP,1.18000000
2025-12-23,PLN,0.23200000
2025-12-23,SEK,0.08900000
2025-12-24,USD,0.92515000
2025-12-24,GBP,1.18012000
2025-12-24,PLN,0.23204000
2025-12-24,SEK,0.08901500
2025-12-29,USD,0.92530000
2025-12-29,GBP,1.18024000
2025-12-29,PLN,0.23208000
2025-12-29,SEK,0.08903000
2025-12-30,USD,0.92545000
2025-12-30,GBP,1.18036000
2025-12-30,PLN,0.23212000
2025-12-30,SEK,0.08904500
2025-12-31,USD,0.92560000
2025-12-31,GBP,1.18048000
2025-12-31,PLN,0.23216000
2025-12-31,SEK,0.08906000
2026-01-02,USD,0.92575000
2026-01-02,GBP,1.18060000
2026-01-02,PLN,0.23220000
2026-01-02,SEK,0.08907500
2026-01-05,USD,0.92425000
2026-01-05,GBP,1.17940000
2026-01-05,PLN,0.23180000
2026-01-05,SEK,0.08892500
2026-01-06,USD,0.92440000
2026-01-06,GBP,1.17952000
2026-01-06,PLN,0.23184000
2026-01-06,SEK,0.08894000
2026-01-07,USD,0.92455000
2026-01-07,GBP,1.17964000
2026-01-07,PLN,0.23188000
2026-01-07,SEK,0.08895500
2026-01-08,USD,0.92470000
2026-01-08,GBP,1.17976000
2026-01-08,PLN,0.23192000
2026-01-08,SEK,0.08897000
2026-01-09,USD,0.92485000
2026-01-09,GBP,1.17988000
2026-01-09,PLN,0.23196000
2026-01-09,SEK,0.08898500
2026-01-12,USD,0.92500000
2026-01-12,GBP,1.18000000
2026-01-12,PLN,0.23200000
2026-01-12,SEK,0.08900000
2026-01-13,USD,0.92515000
2026-01-13,GBP,1.18012000
2026-01-13,PLN,0.23204000
2026-01-13,SEK,0.08901500
2026-01-14,USD,0.92530000
2026-01-14,GBP,1.18024000
2026-01-14,PLN,0.23208000
2026-01-14,SEK,0.08903000
2026-01-15,USD,0.92545000
2026-01-15,GBP,1.18036000
2026-01-15,PLN,0.23212000
2026-01-15,SEK,0.08904500
2026-01-16,USD,0.92560000
2026-01-16,GBP,1.18048000
2026-01-16,PLN,0.23216000
2026-01-16,SEK,0.08906000
2026-01-19,USD,0.92575000
2026-01-19,GBP,1.18060000
2026-01-19,PLN,0.23220000
2026-01-19,SEK,0.08907500
2026-01-20,USD,0.92425000
2026-01-20,GBP,1.17940000
2026-01-20,PLN,0.23180000
2026-01-20,SEK,0.08892500
2026-01-21,USD,0.92440000
2026-01-21,GBP,1.17952000
2026-01-21,PLN,0.23184000
2026-01-21,SEK,0.08894000
2026-01-22,USD,0.92455000
2026-01-22,GBP,1.17964000
2026-01-22,PLN,0.23188000
2026-01-22,SEK,0.08895500
2026-01-23,USD,0.92470000
2026-01-23,GBP,1.17976000
2026-01-23,PLN,0.23192000
2026-01-23,SEK,0.08897000
2026-01-26,USD,0.92485000
2026-01-26,GBP,1.17988000
2026-01-26,PLN,0.23196000
2026-01-26,SEK,0.08898500
2026-01-27,USD,0.92500000
2026-01-27,GBP,1.18000000
2026-01-27,PLN,0.23200000
2026-01-27,SEK,0.08900000
2026-01-28,USD,0.92515000
2026-01-28,GBP,1.18012000
2026-01-28,PLN,0.23204000
2026-01-28,SEK,0.08901500
2026-01-29,USD,0.92530000
2026-01-29,GBP,1.18024000
2026-01-29,PLN,0.23208000
2026-01-29,SEK,0.08903000
2026-01-30,USD,0.92545000
2026-01-30,GBP,1.18036000
2026-01-30,PLN,0.23212000
2026-01-30,SEK,0.08904500
2026-02-02,USD,0.92560000
2026-02-02,GBP,1.18048000
2026-02-02,PLN,0.23216000
2026-02-02,SEK,0.08906000
2026-02-03,USD,0.92575000
2026-02-03,GBP,1.18060000
2026-02-03,PLN,0.23220000
2026-02-03,SEK,0.08907500
2026-02-04,USD,0.92425000
2026-02-04,GBP,1.17940000
2026-02-04,PLN,0.23180000
2026-02-04,SEK,0.08892500
2026-02-05,USD,0.92440000
2026-02-05,GBP,1.17952000
2026-02-05,PLN,0.23184000
2026-02-05,SEK,0.08894000
2026-02-06,USD,0.92455000
2026-02-06,GBP,1.17964000
2026-02-06,PLN,0.23188000
2026-02-06,SEK,0.08895500
2026-02-09,USD,0.92470000
2026-02-09,GBP,1.17976000
2026-02-09,PLN,0.23192000
2026-02-09,SEK,0.08897000
2026-02-10,USD,0.92485000
2026-02-10,GBP,1.17988000
2026-02-10,PLN,0.23196000
2026-02-10,SEK,0.08898500
2026-02-11,USD,0.92500000
2026-02-11,GBP,1.18000000
2026-02-11,PLN,0.23200000
2026-02-11,SEK,0.08900000
2026-02-12,USD,0.92515000
2026-02-12,GBP,1.18012000
2026-02-12,PLN,0.23204000
2026-02-12,SEK,0.08901500
2026-02-13,USD,0.92530000
2026-02-13,GBP,1.18024000
2026-02-13,PLN,0.23208000
2026-02-13,SEK,0.08903000
2026-02-16,USD,0.92545000
2026-02-16,GBP,1.18036000
2026-02-16,PLN,0.23212000
2026-02-16,SEK,0.08904500
2026-02-17,USD,0.92560000
2026-02-17,GBP,1.18048000
2026-02-17,PLN,0.23216000
2026-02-17,SEK,0.08906000
2026-02-18,USD,0.92575000
2026-02-18,GBP,1.18060000
2026-02-18,PLN,0.23220000
2026-02-18,SEK,0.08907500
2026-02-19,USD,0.92425000
2026-02-19,GBP,1.17940000
2026-02-19,PLN,0.23180000
2026-02-19,SEK,0.08892500
2026-02-20,USD,0.92440000
2026-02-20,GBP,1.17952000
2026-02-20,PLN,0.23184000
2026-02-20,SEK,0.08894000
2026-02-23,USD,0.92455000
2026-02-23,GBP,1.17964000
2026-02-23,PLN,0.23188000
2026-02-23,SEK,0.08895500
2026-02-24,USD,0.92470000
2026-02-24,GBP,1.17976000
2026-02-24,PLN,0.23192000
2026-02-24,SEK,0.08897000
2026-02-25,USD,0.92485000
2026-02-25,GBP,1.17988000
2026-02-25,PLN,0.23196000
2026-02-25,SEK,0.08898500
2026-02-26,USD,0.92500000
2026-02-26,GBP,1.18000000
2026-02-26,PLN,0.23200000
2026-02-26,SEK,0.08900000
2026-02-27,USD,0.92515000
2026-02-27,GBP,1.18012000
2026-02-27,PLN,0.23204000
2026-02-27,SEK,0.08901500
