rate_date,currency,units_per_eur
2025-12-01,USD,1.08195834
2025-12-01,GBP,0.84788876
2025-12-01,PLN,4.31406385
2025-12-01,SEK,11.24543154
2025-12-02,USD,1.08178278
2025-12-02,GBP,0.84780250
2025-12-02,PLN,4.31331953
2025-12-02,SEK,11.24353497
2025-12-03,USD,1.08160727
2025-12-03,GBP,0.84771625
2025-12-03,PLN,4.31257547
2025-12-03,SEK,11.24163903
2025-12-04,USD,1.08143182
2025-12-04,GBP,0.84763003
2025-12-04,PLN,4.31183167
2025-12-04,SEK,11.23974373
2025-12-05,USD,1.08125642
2025-12-05,GBP,0.84754382
2025-12-05,PLN,4.31108812
2025-12-05,SEK,11.23784908
2025-12-08,USD,1.08108108
2025-12-08,GBP,0.84745763
2025-12-08,PLN,4.31034483
2025-12-08,SEK,11.23595506
2025-12-09,USD,1.08090580
2025-12-09,GBP,0.84737145
2025-12-09,PLN,4.30960179
2025-12-09,SEK,11.23406167
2025-12-10,USD,1.08073057
2025-12-10,GBP,0.84728530
2025-12-10,PLN,4.30885901
2025-12-10,SEK,11.23216893
2025-12-11,USD,1.08055541
2025-12-11,GBP,0.84719916
2025-12-11,PLN,4.30811649
2025-12-11,SEK,11.23027683
2025-12-12,USD,1.08038029
2025-12-12,GBP,0.84711304
2025-12-12,PLN,4.30737422
2025-12-12,SEK,11.22838536
2025-12-15,USD,1.08020524
2025-12-15,GBP,0.84702694
2025-12-15,PLN,4.30663221
2025-12-15,SEK,11.22649453
2025-12-16,USD,1.08195834
2025-12-16,GBP,0.84788876
2025-12-16,PLN,4.31406385
2025-12-16,SEK,11.24543154
2025-12-17,USD,1.08178278
2025-12-17,GBP,0.84780250
2025-12-17,PLN,4.31331953
2025-12-17,SEK,11.24353497
2025-12-18,USD,1.08160727
2025-12-18,GBP,0.84771625
2025-12-18,PLN,4.31257547
2025-12-18,SEK,11.24163903
2025-12-19,USD,1.08143182
2025-12-19,GBP,0.84763003
2025-12-19,PLN,4.31183167
2025-12-19,SEK,11.23974373
2025-12-22,USD,1.08125642
2025-12-22,GBP,0.84754382
2025-12-22,PLN,4.31108812
2025-12-22,SEK,11.23784908
2025-12-23,USD,1.08108108
2025-12-23,GBP,0.84745763
2025-12-23,PLN,4.31034483
2025-12-23,SEK,11.23595506
2025-12-24,USD,1.08090580
2025-12-24,GBP,0.84737145
2025-12-24,PLN,4.30960179
2025-12-24,SEK,11.23406167
2025-12-29,USD,1.08073057
2025-12-29,GBP,0.84728530
2025-12-29,PLN,4.30885901
2025-12-29,SEK,11.23216893
2025-12-30,USD,1.08055541
2025-12-30,GBP,0.84719916
2025-12-30,PLN,4.30811649
2025-12-30,SEK,11.23027683
2025-12-31,USD,1.08038029
2025-12-31,GBP,0.84711304
2025-12-31,PLN,4.30737422
2025-12-31,SEK,11.22838536
2026-01-02,USD,1.08020524
2026-01-02,GBP,0.84702694
2026-01-02,PLN,4.30663221
2026-01-02,SEK,11.22649453
2026-01-05,USD,1.08195834
2026-01-05,GBP,0.84788876
2026-01-05,PLN,4.31406385
2026-01-05,SEK,11.24543154
2026-01-06,USD,1.08178278
2026-01-06,GBP,0.84780250
2026-01-06,PLN,4.31331953
2026-01-06,SEK,11.24353497
2026-01-07,USD,1.08160727
2026-01-07,GBP,0.84771625
2026-01-07,PLN,4.31257547
2026-01-07,SEK,11.24163903
2026-01-08,USD,1.08143182
2026-01-08,GBP,0.84763003
2026-01-08,PLN,4.31183167
2026-01-08,SEK,11.23974373
2026-01-09,USD,1.08125642
2026-01-09,GBP,0.84754382
2026-01-09,PLN,4.31108812
2026-01-09,SEK,11.23784908
2026-01-12,USD,1.08108108
2026-01-12,GBP,0.84745763
2026-01-12,PLN,4.31034483
2026-01-12,SEK,11.23595506
2026-01-13,USD,1.08090580
2026-01-13,GBP,0.84737145
2026-01-13,PLN,4.30960179
2026-01-13,SEK,11.23406167
2026-01-14,USD,1.08073057
2026-01-14,GBP,0.84728530
2026-01-14,PLN,4.30885901
2026-01-14,SEK,11.23216893
2026-01-15,USD,1.08055541
2026-01-15,GBP,0.84719916
2026-01-15,PLN,4.30811649
2026-01-15,SEK,11.23027683
2026-01-16,USD,1.08038029
2026-01-16,GBP,0.84711304
2026-01-16,PLN,4.30737422
2026-01-16,SEK,11.22838536
2026-01-19,USD,1.08020524
2026-01-19,GBP,0.84702694
2026-01-19,PLN,4.30663221
2026-01-19,SEK,11.22649453
2026-01-20,USD,1.08195834
2026-01-20,GBP,0.84788876
2026-01-20,PLN,4.31406385
2026-01-20,SEK,11.24543154
2026-01-21,USD,1.08178278
2026-01-21,GBP,0.84780250
2026-01-21,PLN,4.31331953
2026-01-21,SEK,11.24353497
2026-01-22,USD,1.08160727
2026-01-22,GBP,0.84771625
2026-01-22,PLN,4.31257547
2026-01-22,SEK,11.24163903
2026-01-23,USD,1.08143182
2026-01-23,GBP,0.84763003
2026-01-23,PLN,4.31183167
2026-01-23,SEK,11.23974373
2026-01-26,USD,1.08125642
2026-01-26,GBP,0.84754382
2026-01-26,PLN,4.31108812
2026-01-26,SEK,11.23784908
2026-01-27,USD,1.08108108
2026-01-27,GBP,0.84745763
2026-01-27,PLN,4.31034483
2026-01-27,SEK,11.23595506
2026-01-28,USD,1.08090580
2026-01-28,GBP,0.84737145
2026-01-28,PLN,4.30960179
2026-01-28,SEK,11.23406167
2026-01-29,USD,1.08073057
2026-01-29,GBP,0.84728530
2026-01-29,PLN,4.30885901
2026-01-29,SEK,11.23216893
2026-01-30,USD,1.08055541
2026-01-30,GBP,0.84719916
2026-01-30,PLN,4.30811649
2026-01-30,SEK,11.23027683
2026-02-02,USD,1.08038029
2026-02-02,GBP,0.84711304
2026-02-02,PLN,4.30737422
2026-02-02,SEK,11.22838536
2026-02-03,USD,1.08020524
2026-02-03,GBP,0.84702694
2026-02-03,PLN,4.30663221
2026-02-03,SEK,11.22649453
2026-02-04,USD,1.08195834
2026-02-04,GBP,0.84788876
2026-02-04,PLN,4.31406385
2026-02-04,SEK,11.24543154
2026-02-05,USD,1.08178278
2026-02-05,GBP,0.84780250
2026-02-05,PLN,4.31331953
2026-02-05,SEK,11.24353497
2026-02-06,USD,1.08160727
2026-02-06,GBP,0.84771625
2026-02-06,PLN,4.31257547
2026-02-06,SEK,11.24163903
2026-02-09,USD,1.08143182
2026-02-09,GBP,0.84763003
2026-02-09,PLN,4.31183167
2026-02-09,SEK,11.23974373
2026-02-10,USD,1.08125642
2026-02-10,GBP,0.84754382
2026-02-10,PLN,4.31108812
2026-02-10,SEK,11.23784908
2026-02-11,USD,1.08108108
2026-02-11,GBP,0.84745763
2026-02-11,PLN,4.31034483
2026-02-11,SEK,11.23595506
2026-02-12,USD,1.08090580
2026-02-12,GBP,0.84737145
2026-02-12,PLN,4.30960179
2026-02-12,SEK,11.23406167
2026-02-13,USD,1.08073057
2026-02-13,GBP,0.84728530
2026-02-13,PLN,4.30885901
2026-02-13,SEK,11.23216893
2026-02-16,USD,1.08055541
2026-02-16,GBP,0.84719916
2026-02-16,PLN,4.30811649
2026-02-16,SEK,11.23027683
2026-02-17,USD,1.08038029
2026-02-17,GBP,0.84711304
2026-02-17,PLN,4.30737422
2026-02-17,SEK,11.22838536
2026-02-18,USD,1.08020524
2026-02-18,GBP,0.84702694
2026-02-18,PLN,4.30663221
2026-02-18,SEK,11.22649453
2026-02-19,USD,1.08195834
2026-02-19,GBP,0.84788876
2026-02-19,PLN,4.31406385
2026-02-19,SEK,11.24543154
2026-02-20,USD,1.08178278
2026-02-20,GBP,0.84780250
2026-02-20,PLN,4.31331953
2026-02-20,SEK,11.24353497
2026-02-23,USD,1.08160727
2026-02-23,GBP,0.84771625
2026-02-23,PLN,4.31257547
2026-02-23,SEK,11.24163903
2026-02-24,USD,1.08143182
2026-02-24,GBP,0.84763003
2026-02-24,PLN,4.31183167
2026-02-24,SEK,11.23974373
2026-02-25,USD,1.08125642
2026-02-25,GBP,0.84754382
2026-02-25,PLN,4.31108812
2026-02-25,SEK,11.23784908
2026-02-26,USD,1.08108108
2026-02-26,GBP,0.84745763
2026-02-26,PLN,4.31034483
2026-02-26,SEK,11.23595506
2026-02-27,USD,1.08090580
2026-02-27,GBP,0.84737145
2026-02-27,PLN,4.30960179
2026-02-27,SEK,11.23406167
